empId,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary,ROI,Risk,color_risk
38,0.11,0.89,6,306,4,0,1,0,technical,1,459,8.090909091,5
39,0.41,0.54,2,152,3,0,1,0,technical,1,101,1.317073171,0
40,0.87,0.88,5,269,5,0,1,0,technical,1,269,1.011494253,0
41,0.45,0.48,2,158,3,0,1,0,technical,1,105,1.066666667,0
42,0.4,0.46,2,127,3,0,1,0,technical,1,84,1.15,0
43,0.1,0.8,7,281,4,0,1,0,technical,1,491,8,5
44,0.09,0.89,6,276,4,0,1,0,technical,1,414,9.888888889,5
45,0.84,0.74,3,182,4,0,1,0,technical,1,136,0.880952381,0
46,0.4,0.55,2,147,3,0,1,0,support,1,98,1.375,0
47,0.57,0.7,3,273,6,0,1,0,support,1,136,1.228070175,0
48,0.4,0.54,2,148,3,0,1,0,support,1,98,1.35,0
49,0.43,0.47,2,147,3,0,1,0,support,1,98,1.093023256,0
50,0.13,0.78,6,152,2,0,1,0,support,1,456,6,5
51,0.44,0.55,2,135,3,0,1,0,support,1,90,1.25,0
52,0.38,0.55,2,134,3,0,1,0,support,1,89,1.447368421,0
53,0.39,0.54,2,132,3,0,1,0,support,1,88,1.384615385,0
54,0.1,0.92,7,307,4,0,1,0,support,1,537,9.2,5
55,0.37,0.46,2,140,3,0,1,0,support,1,93,1.243243243,0
56,0.11,0.94,7,255,4,0,1,0,support,1,446,8.545454545,5
57,0.1,0.81,6,309,4,0,1,0,technical,1,463,8.1,5
58,0.38,0.54,2,128,3,0,1,0,technical,1,85,1.421052632,0
59,0.85,1,4,225,5,0,1,0,technical,1,180,1.176470588,0
60,0.85,0.91,5,226,5,0,1,0,management,2,226,1.070588235,0
61,0.11,0.93,7,308,4,0,1,0,IT,2,539,8.454545455,5
62,0.1,0.95,6,244,5,0,1,0,IT,2,292,9.5,0
63,0.36,0.56,2,132,3,0,1,0,IT,2,88,1.555555556,0
64,0.11,0.94,6,286,4,0,1,0,IT,2,429,8.545454545,5
65,0.81,0.7,6,161,4,0,1,0,IT,2,241,0.864197531,0
66,0.43,0.54,2,153,3,0,1,0,product_mng,2,102,1.255813953,0
67,0.9,0.98,4,264,6,0,1,0,product_mng,2,176,1.088888889,0
68,0.76,0.86,5,223,5,1,1,0,product_mng,2,223,1.131578947,0
69,0.43,0.5,2,135,3,0,1,0,product_mng,2,90,1.162790698,0
70,0.74,0.99,2,277,3,0,1,0,IT,2,184,1.337837838,0
71,0.09,0.77,5,275,4,0,1,0,product_mng,2,343,8.555555556,5
72,0.45,0.49,2,149,3,0,1,0,product_mng,0,99,1.088888889,0
73,0.09,0.87,7,295,4,0,1,0,product_mng,1,516,9.666666667,5
74,0.11,0.97,6,277,4,0,1,0,product_mng,2,415,8.818181818,5
75,0.11,0.79,7,306,4,0,1,0,product_mng,2,535,7.181818182,5
76,0.1,0.83,6,295,4,0,1,0,product_mng,2,442,8.3,5
77,0.4,0.54,2,137,3,0,1,0,marketing,2,91,1.35,0
78,0.43,0.56,2,157,3,0,1,0,sales,1,104,1.302325581,0
79,0.39,0.56,2,142,3,0,1,0,accounting,1,94,1.435897436,0
80,0.45,0.54,2,140,3,0,1,0,support,1,93,1.2,0
81,0.38,0.49,2,151,3,0,1,0,technical,1,100,1.289473684,0
82,0.79,0.59,4,139,3,0,1,1,management,1,185,0.746835443,0
83,0.84,0.85,4,249,6,0,1,0,marketing,1,166,1.011904762,0
84,0.11,0.77,6,291,4,0,1,0,marketing,1,436,7,5
85,0.11,0.87,6,305,4,0,1,0,marketing,1,457,7.909090909,5
86,0.17,0.84,5,232,3,0,1,0,sales,1,386,4.941176471,5
87,0.44,0.45,2,132,3,0,1,0,sales,1,88,1.022727273,0
88,0.37,0.57,2,130,3,0,1,0,sales,1,86,1.540540541,0
89,0.1,0.79,6,291,4,0,1,0,sales,1,436,7.9,5
90,0.4,0.5,2,130,3,0,1,0,sales,1,86,1.25,0
91,0.89,1,5,246,5,0,1,0,sales,1,246,1.123595506,0
92,0.42,0.48,2,143,3,0,1,0,sales,1,95,1.142857143,0
93,0.46,0.55,2,129,3,0,1,0,sales,1,86,1.195652174,0
94,0.09,0.83,6,255,4,0,1,0,sales,1,382,9.222222222,5
95,0.37,0.51,2,155,3,0,1,0,sales,1,103,1.378378378,0
96,0.1,0.77,6,265,4,0,1,0,sales,1,397,7.7,5
97,0.1,0.84,6,279,4,0,1,0,sales,1,418,8.4,5
98,0.11,0.97,6,284,4,0,1,0,sales,1,426,8.818181818,5
99,0.9,1,5,221,6,0,1,0,sales,2,184,1.111111111,0
100,0.38,0.52,2,154,3,0,1,0,sales,2,102,1.368421053,0
101,0.36,0.52,2,147,3,0,1,0,sales,2,98,1.444444444,0
102,0.42,0.46,2,150,3,0,1,0,sales,2,100,1.095238095,0
103,0.09,0.94,7,267,4,0,1,0,sales,2,467,10.44444444,5
104,0.43,0.52,2,158,3,0,1,0,sales,2,105,1.209302326,0
105,0.24,0.46,7,224,5,0,1,0,accounting,2,313,1.916666667,0
106,0.91,1,4,257,5,0,1,0,accounting,2,205,1.098901099,0
107,0.44,0.5,2,148,3,0,1,0,accounting,2,98,1.136363636,0
108,0.71,0.87,3,177,4,0,1,0,hr,2,132,1.225352113,0
109,0.4,0.49,2,155,3,0,1,0,hr,2,103,1.225,0
110,0.43,0.47,2,144,3,0,1,0,hr,2,96,1.093023256,0
111,0.09,0.85,6,289,4,0,1,0,hr,0,433,9.444444444,5
112,0.43,0.52,2,160,3,0,1,0,technical,1,106,1.209302326,0
113,0.9,0.96,4,258,5,0,1,0,technical,2,206,1.066666667,0
114,0.84,1,5,234,5,0,1,0,technical,2,234,1.19047619,0
115,0.37,0.48,2,137,3,0,1,0,technical,2,91,1.297297297,0
116,0.86,0.68,5,263,2,0,1,0,technical,2,657,0.790697674,0
117,0.11,0.84,6,251,4,0,1,0,technical,1,376,7.636363636,5
118,0.37,0.57,2,133,3,0,1,0,technical,1,88,1.540540541,0
119,0.4,0.46,2,132,3,0,1,0,technical,1,88,1.15,0
120,0.14,0.62,4,158,4,1,1,0,technical,1,158,4.428571429,0
121,0.4,0.46,2,135,3,0,1,0,technical,1,90,1.15,0
122,0.75,1,4,216,6,0,1,0,technical,1,144,1.333333333,0
123,0.11,0.84,6,300,5,1,1,0,support,1,360,7.636363636,5
124,0.46,0.49,2,138,3,0,1,0,support,1,92,1.065217391,0
125,0.11,0.92,6,260,4,0,1,0,support,1,390,8.363636364,5
126,0.38,0.49,2,132,3,0,1,0,support,1,88,1.289473684,0
127,0.7,0.89,3,183,5,0,1,0,support,1,109,1.271428571,0
128,0.09,0.82,6,250,4,0,1,0,support,1,375,9.111111111,5
129,0.37,0.45,2,151,3,0,1,0,support,1,100,1.216216216,0
130,0.1,0.83,6,292,4,0,1,0,support,1,438,8.3,5
131,0.38,0.57,2,140,3,0,1,0,support,1,93,1.5,0
132,0.9,1,5,221,5,0,1,0,support,1,221,1.111111111,0
133,0.44,0.51,2,138,3,0,1,0,support,1,92,1.159090909,0
134,0.36,0.5,2,132,3,0,1,0,technical,1,88,1.388888889,0
135,0.31,0.84,7,133,5,0,1,0,technical,1,186,2.709677419,0
136,0.1,0.84,6,283,4,1,1,0,technical,1,424,8.4,5
137,0.42,0.48,2,129,3,0,1,0,management,1,86,1.142857143,0
138,0.74,1,4,249,5,0,1,0,IT,1,199,1.351351351,0
139,0.73,0.87,5,257,5,0,1,0,IT,1,257,1.191780822,0
140,0.09,0.96,6,245,4,0,1,0,IT,1,367,10.66666667,5
141,0.45,0.53,2,155,3,0,1,0,IT,1,103,1.177777778,0
142,0.11,0.8,6,256,4,0,1,0,IT,1,384,7.272727273,5
143,0.37,0.47,2,152,3,0,1,0,product_mng,1,101,1.27027027,0
144,0.84,0.99,4,267,5,0,1,0,product_mng,1,213,1.178571429,0
145,0.41,0.46,2,151,3,0,1,0,product_mng,1,100,1.12195122,0
146,0.76,0.92,4,239,5,0,1,0,product_mng,1,191,1.210526316,0
147,0.11,0.87,6,306,4,0,1,0,IT,1,459,7.909090909,5
148,0.84,0.88,4,263,5,1,1,0,marketing,1,210,1.047619048,0
149,0.39,0.5,2,147,3,0,1,0,marketing,1,98,1.282051282,0
150,0.11,0.91,6,278,4,0,1,0,marketing,1,417,8.272727273,5
151,0.45,0.56,2,154,3,0,1,0,marketing,1,102,1.244444444,0
152,0.37,0.52,2,143,3,0,1,0,marketing,1,95,1.405405405,0
153,0.4,0.52,2,155,3,0,1,0,marketing,1,103,1.3,0
154,0.39,0.48,2,160,3,0,1,0,sales,1,106,1.230769231,0
155,0.11,0.8,6,304,4,0,1,0,accounting,1,456,7.272727273,5
156,0.83,1,5,240,5,0,1,0,support,1,240,1.204819277,0
157,0.11,0.92,6,305,4,0,1,0,technical,1,457,8.363636364,5
158,0.39,0.5,2,136,3,0,1,0,management,1,90,1.282051282,0
159,0.45,0.45,2,132,3,0,1,0,marketing,1,88,1,0
160,0.1,0.95,7,301,4,0,1,0,marketing,1,526,9.5,5
161,0.9,0.98,5,243,6,0,1,0,marketing,1,202,1.088888889,0
162,0.45,0.51,2,147,3,0,1,0,sales,1,98,1.133333333,0
163,0.79,0.89,5,239,5,0,1,0,sales,1,239,1.126582278,0
164,0.9,0.99,5,260,5,0,1,0,sales,1,260,1.1,0
165,0.11,0.84,7,296,4,0,1,0,sales,1,518,7.636363636,5
166,0.43,0.55,2,129,3,0,1,0,sales,1,86,1.279069767,0
167,0.31,0.54,5,132,5,0,1,0,sales,1,132,1.741935484,0
168,0.32,0.5,2,135,5,0,1,0,sales,1,54,1.5625,0
169,0.45,0.57,2,158,3,0,1,0,sales,1,105,1.266666667,0
170,0.81,0.99,4,259,5,0,1,0,sales,1,207,1.222222222,0
171,0.41,0.46,2,160,3,0,1,1,sales,1,106,1.12195122,0
172,0.11,0.78,7,278,4,0,1,0,sales,1,486,7.090909091,5
173,0.1,0.88,6,284,4,0,1,0,sales,1,426,8.8,5
174,0.7,0.53,2,274,4,0,1,0,sales,1,137,0.757142857,0
175,0.54,0.74,4,164,2,0,1,0,sales,1,328,1.37037037,0
176,0.41,0.48,2,148,3,0,1,0,sales,1,98,1.170731707,0
177,0.38,0.5,2,140,3,0,1,0,sales,2,93,1.315789474,0
178,0.37,0.51,2,127,3,0,1,0,sales,2,84,1.378378378,0
179,0.11,0.85,6,308,5,0,1,0,sales,2,369,7.727272727,5
180,0.4,0.47,2,146,3,0,1,0,sales,2,97,1.175,0
181,0.1,0.84,6,261,4,0,1,0,accounting,2,391,8.4,5
182,0.89,0.99,5,257,5,0,1,0,accounting,2,257,1.112359551,0
183,0.11,0.8,6,285,4,0,1,0,accounting,2,427,7.272727273,5
184,0.36,0.55,2,141,3,0,1,0,hr,2,94,1.527777778,0
185,0.4,0.46,2,127,3,0,1,0,hr,2,84,1.15,0
186,0.09,0.85,6,297,4,0,1,0,hr,2,445,9.444444444,5
187,0.4,0.46,2,143,3,0,1,0,hr,2,95,1.15,0
188,0.37,0.55,2,152,3,0,1,0,technical,2,101,1.486486486,0
189,0.44,0.51,2,156,3,0,1,0,technical,0,104,1.159090909,0
190,0.09,0.8,7,283,5,0,1,0,technical,1,396,8.888888889,5
191,0.92,0.87,4,226,6,1,1,0,technical,2,150,0.945652174,0
192,0.74,0.91,4,232,5,0,1,0,technical,2,185,1.22972973,0
193,0.09,0.82,6,249,4,0,1,0,technical,2,373,9.111111111,5
194,0.89,0.95,4,275,5,0,1,0,technical,2,220,1.06741573,0
195,0.09,0.8,6,304,4,0,1,0,technical,1,456,8.888888889,5
196,0.27,0.54,7,278,3,0,1,0,technical,1,648,2,5
197,0.1,0.91,6,287,4,0,1,0,technical,1,430,9.1,5
198,0.1,0.89,7,285,4,0,1,0,technical,1,498,8.9,5
199,0.77,0.94,5,226,6,0,1,0,support,1,188,1.220779221,0
200,0.9,0.82,5,259,5,0,1,0,support,1,259,0.911111111,0
201,0.39,0.5,2,135,3,0,1,0,support,1,90,1.282051282,0
202,0.76,1,5,219,5,0,1,0,support,1,219,1.315789474,0
203,0.1,0.93,6,256,4,0,1,0,support,1,384,9.3,5
204,0.87,0.9,5,254,6,0,1,0,support,1,211,1.034482759,0
205,0.38,0.5,2,153,3,0,1,0,support,1,102,1.315789474,0
206,0.77,0.99,5,228,5,0,1,0,support,1,228,1.285714286,0
207,0.78,0.87,4,228,5,0,1,0,support,1,182,1.115384615,0
208,0.44,0.5,2,128,3,0,1,0,support,1,85,1.136363636,0
209,0.38,0.52,2,153,3,0,1,0,support,1,102,1.368421053,0
210,0.43,0.46,2,156,3,0,1,0,technical,1,104,1.069767442,0
211,0.39,0.5,4,294,3,0,1,0,technical,1,392,1.282051282,0
212,0.88,1,5,219,5,0,1,0,technical,1,219,1.136363636,0
213,0.45,0.46,2,153,3,0,1,0,management,1,102,1.022222222,0
214,0.4,0.53,2,151,3,0,1,0,IT,1,100,1.325,0
215,0.36,0.51,2,155,3,0,1,0,IT,1,103,1.416666667,0
216,0.36,0.48,2,158,3,0,1,0,IT,1,105,1.333333333,0
217,0.9,0.98,5,245,5,0,1,0,IT,1,245,1.088888889,0
218,0.43,0.53,2,131,3,0,1,0,IT,1,87,1.23255814,0
219,0.89,0.87,5,225,5,0,1,0,product_mng,1,225,0.97752809,0
220,0.1,0.84,6,286,4,0,1,0,product_mng,1,429,8.4,5
221,0.37,0.5,2,135,3,0,1,0,product_mng,1,90,1.351351351,0
222,0.37,0.51,2,153,3,0,1,0,product_mng,1,102,1.378378378,0
223,0.87,0.9,5,252,5,0,1,0,IT,1,252,1.034482759,0
224,0.4,0.56,2,149,3,0,1,0,accounting,1,99,1.4,0
225,0.9,0.97,4,258,5,0,1,0,accounting,1,206,1.077777778,0
226,0.37,0.46,2,158,3,0,1,0,hr,1,105,1.243243243,0
227,0.44,0.54,2,149,3,0,1,0,hr,1,99,1.227272727,0
228,0.85,0.95,5,236,5,0,1,0,hr,1,236,1.117647059,0
229,0.78,0.98,5,239,6,0,1,0,marketing,1,199,1.256410256,0
230,0.42,0.47,2,159,3,0,1,0,marketing,1,106,1.119047619,0
231,0.92,0.99,5,255,6,0,1,0,sales,1,212,1.076086957,0
232,0.11,0.83,6,244,4,0,1,0,accounting,1,366,7.545454545,5
233,0.42,0.56,2,134,3,0,1,0,support,1,89,1.333333333,0
234,0.48,0.57,4,270,4,0,1,0,technical,1,270,1.1875,0
235,0.83,0.85,4,255,5,0,1,0,management,1,204,1.024096386,0
236,0.4,0.53,2,151,3,0,1,0,marketing,1,100,1.325,0
237,0.43,0.45,2,135,3,0,1,0,marketing,1,90,1.046511628,0
238,0.43,0.53,2,146,3,0,1,0,marketing,1,97,1.23255814,0
239,0.1,0.97,7,254,4,0,1,0,sales,1,444,9.7,5
240,0.1,0.87,7,289,4,0,1,0,sales,1,505,8.7,5
241,0.37,0.46,2,156,3,0,1,0,sales,1,104,1.243243243,0
242,0.38,0.53,2,156,3,0,1,0,sales,1,104,1.394736842,0
243,0.4,0.5,2,128,3,0,1,0,sales,1,85,1.25,0
244,0.89,0.86,5,275,5,0,1,0,sales,1,275,0.966292135,0
245,0.45,0.46,2,155,3,0,1,0,sales,1,103,1.022222222,0
246,0.37,0.48,2,159,3,0,1,0,sales,1,106,1.297297297,0
247,0.46,0.49,2,148,3,0,1,0,sales,1,98,1.065217391,0
248,0.87,0.91,4,228,5,0,1,0,sales,1,182,1.045977011,0
249,0.11,0.84,6,298,4,0,1,0,sales,1,447,7.636363636,5
250,0.79,0.87,5,261,5,0,1,0,sales,1,261,1.101265823,0
251,0.79,0.92,5,254,6,0,1,0,sales,1,211,1.164556962,0
252,0.19,0.59,7,192,3,0,1,0,sales,1,448,3.105263158,5
253,0.87,0.98,4,248,5,0,1,0,sales,1,198,1.126436782,0
254,0.6,0.92,2,258,5,0,1,0,sales,1,103,1.533333333,0
255,0.44,0.45,2,156,3,0,1,0,sales,2,104,1.022727273,0
256,0.11,0.81,6,266,4,1,1,0,sales,2,399,7.363636364,5
257,0.42,0.54,2,156,3,0,1,0,sales,2,104,1.285714286,0
258,0.88,0.88,5,232,5,1,1,0,accounting,2,232,1,0
259,0.11,0.84,6,287,4,0,1,0,accounting,2,430,7.636363636,5
260,0.46,0.46,2,154,3,0,1,0,accounting,2,102,1,0
261,0.82,0.97,5,263,5,0,1,0,hr,2,263,1.182926829,0
262,0.44,0.56,2,131,3,0,1,0,hr,2,87,1.272727273,0
263,0.11,0.78,6,260,4,0,1,0,hr,2,390,7.090909091,5
264,0.42,0.5,2,139,3,0,1,0,hr,2,92,1.19047619,0
265,0.84,0.93,4,251,5,0,1,0,technical,2,200,1.107142857,0
266,0.11,0.95,6,286,4,0,1,0,technical,2,429,8.636363636,5
267,0.45,0.53,2,129,3,0,1,0,technical,0,86,1.177777778,0
268,0.38,0.56,2,156,3,0,1,0,technical,1,104,1.473684211,0
269,0.38,0.86,6,139,6,0,1,0,technical,2,139,2.263157895,0
270,0.44,0.51,2,127,3,0,1,0,technical,2,84,1.159090909,0
271,0.11,0.84,6,251,4,0,1,0,technical,2,376,7.636363636,5
272,0.81,0.93,5,270,5,0,1,0,technical,2,270,1.148148148,0
273,0.09,0.96,6,296,4,0,1,0,technical,1,444,10.66666667,5
274,0.11,0.9,6,254,4,0,1,0,technical,1,381,8.181818182,5
275,0.81,0.95,5,238,6,0,1,0,technical,1,198,1.172839506,0
276,0.1,0.97,6,267,4,1,1,0,support,1,400,9.7,5
277,0.74,0.89,5,229,6,0,1,0,support,1,190,1.202702703,0
278,0.09,0.78,6,254,4,0,1,0,support,1,381,8.666666667,5
279,0.82,0.81,4,233,4,1,1,0,support,1,233,0.987804878,0
280,0.1,0.98,6,268,4,0,1,0,support,1,402,9.8,5
281,0.27,0.56,3,301,3,0,1,0,support,1,301,2.074074074,0
282,0.83,0.92,5,267,6,0,1,0,support,1,222,1.108433735,0
283,0.1,0.93,6,289,4,1,1,0,support,1,433,9.3,5
284,0.38,0.47,2,144,3,0,1,0,support,1,96,1.236842105,0
285,0.4,0.56,2,148,3,0,1,0,support,1,98,1.4,0
286,0.11,0.83,6,306,4,0,1,0,support,1,459,7.545454545,5
287,0.11,0.79,6,292,4,0,1,1,technical,1,438,7.181818182,5
288,0.82,0.91,5,232,5,0,1,0,technical,1,232,1.109756098,0
289,0.36,0.48,2,137,3,0,1,0,technical,1,91,1.333333333,0
290,0.4,0.46,2,128,3,0,1,0,management,1,85,1.15,0
291,0.87,0.84,5,231,5,0,1,0,IT,1,231,0.965517241,0
292,0.41,0.49,2,146,3,0,1,0,IT,1,97,1.195121951,0
293,0.11,0.91,6,308,4,1,1,0,IT,1,462,8.272727273,5
294,0.1,0.93,6,253,4,0,1,0,IT,2,379,9.3,5
295,0.38,0.51,2,146,3,0,1,0,IT,2,97,1.342105263,0
296,0.39,0.55,2,156,3,0,1,0,product_mng,2,104,1.41025641,0
297,0.4,0.52,2,147,3,0,1,0,product_mng,2,98,1.3,0
298,0.45,0.48,2,136,3,0,1,0,product_mng,2,90,1.066666667,0
299,0.74,0.84,5,249,5,0,1,0,product_mng,2,249,1.135135135,0
300,0.45,0.55,2,151,3,0,1,0,IT,2,100,1.222222222,0
301,0.12,1,3,278,4,0,1,0,RandD,2,208,8.333333333,0
302,0.1,0.77,7,250,5,0,1,0,RandD,2,350,7.7,5
303,0.37,0.55,2,127,3,0,1,0,RandD,2,84,1.486486486,0
304,0.89,0.87,5,255,5,0,1,0,RandD,2,255,0.97752809,0
305,0.45,0.47,2,135,3,0,1,0,RandD,2,90,1.044444444,0
306,0.37,0.46,2,149,3,0,1,0,marketing,0,99,1.243243243,0
307,0.11,0.81,5,287,4,0,1,0,sales,1,358,7.363636364,5
308,0.41,0.48,2,145,3,0,1,0,accounting,2,96,1.170731707,0
309,0.1,0.94,6,285,4,0,1,0,support,2,427,9.4,5
310,0.1,0.93,7,305,4,0,1,0,technical,2,533,9.3,5
311,0.11,0.95,7,300,4,0,1,0,management,2,525,8.636363636,5
312,0.4,0.54,2,139,3,0,1,0,marketing,1,92,1.35,0
313,0.41,0.49,2,130,3,0,1,0,marketing,1,86,1.195121951,0
314,0.1,0.81,6,268,4,0,1,0,marketing,1,402,8.1,5
315,0.73,0.86,4,245,6,0,1,0,sales,1,163,1.178082192,0
316,0.43,0.47,2,135,3,0,1,0,sales,1,90,1.093023256,0
317,0.37,0.46,2,153,3,0,1,0,sales,1,102,1.243243243,0
318,0.11,0.94,6,276,4,0,1,0,sales,1,414,8.545454545,5
319,0.4,0.46,2,130,3,0,1,0,sales,1,86,1.15,0
320,0.41,0.54,2,153,3,1,1,0,sales,1,102,1.317073171,0
321,0.82,0.84,5,244,5,0,1,0,sales,1,244,1.024390244,0
322,0.61,0.47,2,253,3,0,1,0,sales,1,168,0.770491803,0
323,0.11,0.91,7,287,4,0,1,0,sales,1,502,8.272727273,5
324,0.37,0.45,2,131,3,0,1,0,sales,1,87,1.216216216,0
325,0.41,0.52,2,135,3,0,1,0,sales,1,90,1.268292683,0
326,0.37,0.52,2,157,3,0,1,0,sales,1,104,1.405405405,0
327,0.88,0.99,5,262,6,0,1,0,sales,1,218,1.125,0
328,0.1,0.85,6,266,4,0,1,0,sales,1,399,8.5,5
329,0.44,0.48,2,148,3,0,1,0,sales,1,98,1.090909091,0
330,0.38,0.57,2,140,3,0,1,0,sales,1,93,1.5,0
331,0.11,0.85,7,302,4,0,1,0,sales,1,528,7.727272727,5
332,0.09,0.98,6,271,4,0,1,0,sales,1,406,10.88888889,5
333,0.45,0.52,2,145,3,0,1,0,sales,2,96,1.155555556,0
334,0.1,0.81,6,290,4,0,1,0,accounting,2,435,8.1,5
335,0.45,0.47,2,151,3,0,1,0,accounting,2,100,1.044444444,0
336,0.77,0.87,5,266,5,0,1,0,accounting,2,266,1.12987013,0
337,0.44,0.51,2,140,3,0,1,0,hr,2,93,1.159090909,0
338,0.39,0.5,2,142,3,0,1,0,hr,2,94,1.282051282,0
339,0.1,0.91,6,246,4,0,1,0,hr,2,369,9.1,5
340,0.09,0.89,7,308,5,0,1,0,hr,2,431,9.888888889,5
341,0.37,0.47,2,141,3,0,1,0,technical,2,94,1.27027027,0
342,0.9,1,5,232,5,0,1,0,technical,2,232,1.111111111,0
343,0.41,0.56,2,143,3,0,1,0,technical,2,95,1.365853659,0
344,0.37,0.52,2,155,3,0,1,0,technical,2,103,1.405405405,0
345,0.1,0.86,6,278,4,0,1,0,technical,0,417,8.6,5
346,0.81,1,4,253,5,0,1,0,technical,1,202,1.234567901,0
347,0.11,0.8,6,282,4,0,1,0,technical,2,423,7.272727273,5
348,0.11,0.84,7,264,4,0,1,0,technical,2,462,7.636363636,5
349,0.4,0.46,2,149,3,0,1,0,technical,2,99,1.15,0
350,0.09,0.8,6,304,5,0,1,0,technical,2,364,8.888888889,5
351,0.48,0.93,3,219,6,0,1,0,technical,1,109,1.9375,0
352,0.91,0.91,4,262,6,0,1,0,support,1,174,1,0
353,0.43,0.57,2,135,3,0,1,0,support,1,90,1.325581395,0
354,0.33,0.88,6,219,5,0,1,0,support,1,262,2.666666667,0
355,0.41,0.57,2,136,3,0,1,0,support,1,90,1.390243902,0
356,0.41,0.55,2,154,3,0,1,0,support,1,102,1.341463415,0
357,0.37,0.54,2,149,3,0,1,0,support,1,99,1.459459459,0
358,0.31,0.62,6,135,5,0,1,0,support,1,162,2,0
359,0.09,0.91,6,275,4,0,1,0,support,1,412,10.11111111,5
360,0.1,0.87,6,290,4,0,1,0,support,1,435,8.7,5
361,0.76,0.9,4,263,5,0,1,0,support,1,210,1.184210526,0
362,0.41,0.54,2,145,3,0,1,0,support,1,96,1.317073171,0
363,0.72,0.96,5,267,5,0,1,0,technical,1,267,1.333333333,0
364,0.4,0.5,2,141,3,1,1,0,technical,1,94,1.25,0
365,0.91,0.87,4,235,5,0,1,0,technical,1,188,0.956043956,0
366,0.1,0.83,6,258,4,0,1,0,management,1,387,8.3,5
367,0.4,0.56,2,131,3,0,1,0,IT,1,87,1.4,0
368,0.82,0.86,5,243,5,0,1,0,IT,1,243,1.048780488,0
369,0.1,0.82,6,266,4,0,1,0,IT,1,399,8.2,5
370,0.37,0.45,2,142,3,0,1,0,IT,1,94,1.216216216,0
371,0.36,0.51,2,135,3,0,1,0,IT,1,90,1.416666667,0
372,0.39,0.48,2,141,3,0,1,0,product_mng,2,94,1.230769231,0
373,0.36,0.57,2,142,3,0,1,0,product_mng,2,94,1.583333333,0
374,0.86,0.84,5,254,5,0,1,0,product_mng,2,254,0.976744186,0
375,0.73,0.99,5,262,5,0,1,0,product_mng,2,262,1.356164384,0
376,0.56,0.71,4,296,2,0,1,0,IT,2,592,1.267857143,0
377,0.44,0.56,2,158,3,0,1,0,accounting,2,105,1.272727273,0
378,0.31,0.56,4,238,2,0,1,0,accounting,2,476,1.806451613,5
