,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary,ROI,attrition_rate
60,0.85,0.91,5,226,5,0,1,0,management,2,0.30333333333333334,1.0705882352941176
61,0.11,0.93,7,308,4,0,1,0,IT,2,0.5425000000000001,8.454545454545455
62,0.1,0.95,6,244,5,0,1,0,IT,2,0.37999999999999995,9.499999999999998
63,0.36,0.56,2,132,3,0,1,0,IT,2,0.12444444444444445,1.5555555555555558
64,0.11,0.94,6,286,4,0,1,0,IT,2,0.47,8.545454545454545
65,0.81,0.7,6,161,4,0,1,0,IT,2,0.3499999999999999,0.8641975308641974
66,0.43,0.54,2,153,3,0,1,0,product_mng,2,0.12000000000000001,1.255813953488372
67,0.9,0.98,4,264,6,0,1,0,product_mng,2,0.21777777777777776,1.0888888888888888
68,0.76,0.86,5,223,5,1,1,0,product_mng,2,0.2866666666666667,1.131578947368421
69,0.43,0.5,2,135,3,0,1,0,product_mng,2,0.1111111111111111,1.1627906976744187
70,0.74,0.99,2,277,3,0,1,0,IT,2,0.22,1.337837837837838
71,0.09,0.77,5,275,4,0,1,0,product_mng,2,0.32083333333333336,8.555555555555555
72,0.45,0.49,2,149,3,0,1,0,product_mng,0,0.32666666666666666,1.0888888888888888
73,0.09,0.87,7,295,4,0,1,0,product_mng,1,0.76125,9.666666666666668
74,0.11,0.97,6,277,4,0,1,0,product_mng,2,0.48500000000000004,8.818181818181818
75,0.11,0.79,7,306,4,0,1,0,product_mng,2,0.4608333333333334,7.1818181818181825
76,0.1,0.83,6,295,4,0,1,0,product_mng,2,0.415,8.299999999999999
77,0.4,0.54,2,137,3,0,1,0,marketing,2,0.12000000000000001,1.35
78,0.43,0.56,2,157,3,0,1,0,sales,1,0.18666666666666668,1.302325581395349
79,0.39,0.56,2,142,3,0,1,0,accounting,1,0.18666666666666668,1.435897435897436
80,0.45,0.54,2,140,3,0,1,0,support,1,0.18000000000000002,1.2
81,0.38,0.49,2,151,3,0,1,0,technical,1,0.16333333333333333,1.2894736842105263
82,0.79,0.59,4,139,3,0,1,1,management,1,0.3933333333333333,0.7468354430379746
83,0.84,0.85,4,249,6,0,1,0,marketing,1,0.2833333333333333,1.0119047619047619
84,0.11,0.77,6,291,4,0,1,0,marketing,1,0.5775,7.0
85,0.11,0.87,6,305,4,0,1,0,marketing,1,0.6525,7.909090909090909
86,0.17,0.84,5,232,3,0,1,0,sales,1,0.7000000000000001,4.941176470588235
87,0.44,0.45,2,132,3,0,1,0,sales,1,0.15,1.0227272727272727
88,0.37,0.57,2,130,3,0,1,0,sales,1,0.18999999999999997,1.5405405405405403
89,0.1,0.79,6,291,4,0,1,0,sales,1,0.5925,7.9
90,0.4,0.5,2,130,3,0,1,0,sales,1,0.16666666666666666,1.25
91,0.89,1.0,5,246,5,0,1,0,sales,1,0.5,1.1235955056179776
92,0.42,0.48,2,143,3,0,1,0,sales,1,0.16,1.1428571428571428
93,0.46,0.55,2,129,3,0,1,0,sales,1,0.18333333333333335,1.1956521739130435
94,0.09,0.83,6,255,4,0,1,0,sales,1,0.6224999999999999,9.222222222222221
95,0.37,0.51,2,155,3,0,1,0,sales,1,0.17,1.3783783783783785
96,0.1,0.77,6,265,4,0,1,0,sales,1,0.5775,7.7
97,0.1,0.84,6,279,4,0,1,0,sales,1,0.63,8.399999999999999
98,0.11,0.97,6,284,4,0,1,0,sales,1,0.7275,8.818181818181818
99,0.9,1.0,5,221,6,0,1,0,sales,2,0.2777777777777778,1.1111111111111112
100,0.38,0.52,2,154,3,0,1,0,sales,2,0.11555555555555556,1.368421052631579
101,0.36,0.52,2,147,3,0,1,0,sales,2,0.11555555555555556,1.4444444444444446
102,0.42,0.46,2,150,3,0,1,0,sales,2,0.10222222222222223,1.0952380952380953
103,0.09,0.94,7,267,4,0,1,0,sales,2,0.5483333333333333,10.444444444444445
104,0.43,0.52,2,158,3,0,1,0,sales,2,0.11555555555555556,1.2093023255813955
105,0.24,0.46,7,224,5,0,1,0,accounting,2,0.21466666666666667,1.9166666666666667
106,0.91,1.0,4,257,5,0,1,0,accounting,2,0.26666666666666666,1.0989010989010988
107,0.44,0.5,2,148,3,0,1,0,accounting,2,0.1111111111111111,1.1363636363636365
108,0.71,0.87,3,177,4,0,1,0,hr,2,0.2175,1.2253521126760565
109,0.4,0.49,2,155,3,0,1,0,hr,2,0.10888888888888888,1.2249999999999999
110,0.43,0.47,2,144,3,0,1,0,hr,2,0.10444444444444444,1.0930232558139534
111,0.09,0.85,6,289,4,0,1,0,hr,0,1.275,9.444444444444445
112,0.43,0.52,2,160,3,0,1,0,technical,1,0.17333333333333334,1.2093023255813955
113,0.9,0.96,4,258,5,0,1,0,technical,2,0.256,1.0666666666666667
114,0.84,1.0,5,234,5,0,1,0,technical,2,0.3333333333333333,1.1904761904761905
115,0.37,0.48,2,137,3,0,1,0,technical,2,0.10666666666666666,1.2972972972972974
116,0.86,0.68,5,263,2,0,1,0,technical,2,0.5666666666666668,0.7906976744186047
117,0.11,0.84,6,251,4,0,1,0,technical,1,0.63,7.636363636363636
118,0.37,0.57,2,133,3,0,1,0,technical,1,0.18999999999999997,1.5405405405405403
119,0.4,0.46,2,132,3,0,1,0,technical,1,0.15333333333333335,1.15
120,0.14,0.62,4,158,4,1,1,0,technical,1,0.31,4.428571428571428
121,0.4,0.46,2,135,3,0,1,0,technical,1,0.15333333333333335,1.15
122,0.75,1.0,4,216,6,0,1,0,technical,1,0.3333333333333333,1.3333333333333333
123,0.11,0.84,6,300,5,1,1,0,support,1,0.504,7.636363636363636
124,0.46,0.49,2,138,3,0,1,0,support,1,0.16333333333333333,1.0652173913043477
125,0.11,0.92,6,260,4,0,1,0,support,1,0.6900000000000001,8.363636363636363
126,0.38,0.49,2,132,3,0,1,0,support,1,0.16333333333333333,1.2894736842105263
127,0.7,0.89,3,183,5,0,1,0,support,1,0.267,1.2714285714285716
128,0.09,0.82,6,250,4,0,1,0,support,1,0.615,9.11111111111111
129,0.37,0.45,2,151,3,0,1,0,support,1,0.15,1.2162162162162162
130,0.1,0.83,6,292,4,0,1,0,support,1,0.6224999999999999,8.299999999999999
131,0.38,0.57,2,140,3,0,1,0,support,1,0.18999999999999997,1.4999999999999998
132,0.9,1.0,5,221,5,0,1,0,support,1,0.5,1.1111111111111112
133,0.44,0.51,2,138,3,0,1,0,support,1,0.17,1.1590909090909092
134,0.36,0.5,2,132,3,0,1,0,technical,1,0.16666666666666666,1.3888888888888888
135,0.31,0.84,7,133,5,0,1,0,technical,1,0.588,2.7096774193548385
136,0.1,0.84,6,283,4,1,1,0,technical,1,0.63,8.399999999999999
137,0.42,0.48,2,129,3,0,1,0,management,1,0.16,1.1428571428571428
138,0.74,1.0,4,249,5,0,1,0,IT,1,0.4,1.3513513513513513
139,0.73,0.87,5,257,5,0,1,0,IT,1,0.43499999999999994,1.1917808219178083
140,0.09,0.96,6,245,4,0,1,0,IT,1,0.72,10.666666666666666
141,0.45,0.53,2,155,3,0,1,0,IT,1,0.17666666666666667,1.1777777777777778
142,0.11,0.8,6,256,4,0,1,0,IT,1,0.6000000000000001,7.272727272727273
143,0.37,0.47,2,152,3,0,1,0,product_mng,1,0.15666666666666665,1.2702702702702702
144,0.84,0.99,4,267,5,0,1,0,product_mng,1,0.396,1.1785714285714286
145,0.41,0.46,2,151,3,0,1,0,product_mng,1,0.15333333333333335,1.1219512195121952
146,0.76,0.92,4,239,5,0,1,0,product_mng,1,0.368,1.2105263157894737
147,0.11,0.87,6,306,4,0,1,0,IT,1,0.6525,7.909090909090909
148,0.84,0.88,4,263,5,1,1,0,marketing,1,0.352,1.0476190476190477
149,0.39,0.5,2,147,3,0,1,0,marketing,1,0.16666666666666666,1.282051282051282
150,0.11,0.91,6,278,4,0,1,0,marketing,1,0.6825,8.272727272727273
151,0.45,0.56,2,154,3,0,1,0,marketing,1,0.18666666666666668,1.2444444444444445
152,0.37,0.52,2,143,3,0,1,0,marketing,1,0.17333333333333334,1.4054054054054055
153,0.4,0.52,2,155,3,0,1,0,marketing,1,0.17333333333333334,1.3
154,0.39,0.48,2,160,3,0,1,0,sales,1,0.16,1.2307692307692306
155,0.11,0.8,6,304,4,0,1,0,accounting,1,0.6000000000000001,7.272727272727273
156,0.83,1.0,5,240,5,0,1,0,support,1,0.5,1.2048192771084338
157,0.11,0.92,6,305,4,0,1,0,technical,1,0.6900000000000001,8.363636363636363
158,0.39,0.5,2,136,3,0,1,0,management,1,0.16666666666666666,1.282051282051282
159,0.45,0.45,2,132,3,0,1,0,marketing,1,0.15,1.0
160,0.1,0.95,7,301,4,0,1,0,marketing,1,0.8312499999999999,9.499999999999998
161,0.9,0.98,5,243,6,0,1,0,marketing,1,0.4083333333333334,1.0888888888888888
162,0.45,0.51,2,147,3,0,1,0,sales,1,0.17,1.1333333333333333
163,0.79,0.89,5,239,5,0,1,0,sales,1,0.445,1.1265822784810127
164,0.9,0.99,5,260,5,0,1,0,sales,1,0.495,1.0999999999999999
165,0.11,0.84,7,296,4,0,1,0,sales,1,0.735,7.636363636363636
166,0.43,0.55,2,129,3,0,1,0,sales,1,0.18333333333333335,1.2790697674418605
167,0.31,0.54,5,132,5,0,1,0,sales,1,0.27,1.741935483870968
168,0.32,0.5,2,135,5,0,1,0,sales,1,0.1,1.5625
169,0.45,0.57,2,158,3,0,1,0,sales,1,0.18999999999999997,1.2666666666666666
170,0.81,0.99,4,259,5,0,1,0,sales,1,0.396,1.222222222222222
171,0.41,0.46,2,160,3,0,1,1,sales,1,0.15333333333333335,1.1219512195121952
172,0.11,0.78,7,278,4,0,1,0,sales,1,0.6825,7.090909090909091
173,0.1,0.88,6,284,4,0,1,0,sales,1,0.66,8.799999999999999
174,0.7,0.53,2,274,4,0,1,0,sales,1,0.1325,0.7571428571428572
175,0.54,0.74,4,164,2,0,1,0,sales,1,0.74,1.3703703703703702
176,0.41,0.48,2,148,3,0,1,0,sales,1,0.16,1.170731707317073
177,0.38,0.5,2,140,3,0,1,0,sales,2,0.1111111111111111,1.3157894736842106
178,0.37,0.51,2,127,3,0,1,0,sales,2,0.11333333333333334,1.3783783783783785
179,0.11,0.85,6,308,5,0,1,0,sales,2,0.33999999999999997,7.727272727272727
180,0.4,0.47,2,146,3,0,1,0,sales,2,0.10444444444444444,1.1749999999999998
181,0.1,0.84,6,261,4,0,1,0,accounting,2,0.42,8.399999999999999
182,0.89,0.99,5,257,5,0,1,0,accounting,2,0.33,1.1123595505617978
183,0.11,0.8,6,285,4,0,1,0,accounting,2,0.4000000000000001,7.272727272727273
184,0.36,0.55,2,141,3,0,1,0,hr,2,0.12222222222222223,1.527777777777778
185,0.4,0.46,2,127,3,0,1,0,hr,2,0.10222222222222223,1.15
186,0.09,0.85,6,297,4,0,1,0,hr,2,0.425,9.444444444444445
187,0.4,0.46,2,143,3,0,1,0,hr,2,0.10222222222222223,1.15
188,0.37,0.55,2,152,3,0,1,0,technical,2,0.12222222222222223,1.4864864864864866
189,0.44,0.51,2,156,3,0,1,0,technical,0,0.34,1.1590909090909092
190,0.09,0.8,7,283,5,0,1,0,technical,1,0.56,8.88888888888889
191,0.92,0.87,4,226,6,1,1,0,technical,2,0.19333333333333333,0.9456521739130435
192,0.74,0.91,4,232,5,0,1,0,technical,2,0.24266666666666667,1.2297297297297298
193,0.09,0.82,6,249,4,0,1,0,technical,2,0.41,9.11111111111111
194,0.89,0.95,4,275,5,0,1,0,technical,2,0.2533333333333333,1.0674157303370786
195,0.09,0.8,6,304,4,0,1,0,technical,1,0.6000000000000001,8.88888888888889
196,0.27,0.54,7,278,3,0,1,0,technical,1,0.63,2.0
197,0.1,0.91,6,287,4,0,1,0,technical,1,0.6825,9.1
198,0.1,0.89,7,285,4,0,1,0,technical,1,0.77875,8.9
199,0.77,0.94,5,226,6,0,1,0,support,1,0.3916666666666666,1.2207792207792207
200,0.9,0.82,5,259,5,0,1,0,support,1,0.41,0.911111111111111
201,0.39,0.5,2,135,3,0,1,0,support,1,0.16666666666666666,1.282051282051282
202,0.76,1.0,5,219,5,0,1,0,support,1,0.5,1.3157894736842106
203,0.1,0.93,6,256,4,0,1,0,support,1,0.6975,9.3
204,0.87,0.9,5,254,6,0,1,0,support,1,0.375,1.0344827586206897
205,0.38,0.5,2,153,3,0,1,0,support,1,0.16666666666666666,1.3157894736842106
206,0.77,0.99,5,228,5,0,1,0,support,1,0.495,1.2857142857142856
207,0.78,0.87,4,228,5,0,1,0,support,1,0.348,1.1153846153846154
208,0.44,0.5,2,128,3,0,1,0,support,1,0.16666666666666666,1.1363636363636365
209,0.38,0.52,2,153,3,0,1,0,support,1,0.17333333333333334,1.368421052631579
210,0.43,0.46,2,156,3,0,1,0,technical,1,0.15333333333333335,1.0697674418604652
211,0.39,0.5,4,294,3,0,1,0,technical,1,0.3333333333333333,1.282051282051282
212,0.88,1.0,5,219,5,0,1,0,technical,1,0.5,1.1363636363636365
213,0.45,0.46,2,153,3,0,1,0,management,1,0.15333333333333335,1.0222222222222221
214,0.4,0.53,2,151,3,0,1,0,IT,1,0.17666666666666667,1.325
215,0.36,0.51,2,155,3,0,1,0,IT,1,0.17,1.4166666666666667
216,0.36,0.48,2,158,3,0,1,0,IT,1,0.16,1.3333333333333333
217,0.9,0.98,5,245,5,0,1,0,IT,1,0.49000000000000005,1.0888888888888888
218,0.43,0.53,2,131,3,0,1,0,IT,1,0.17666666666666667,1.232558139534884
219,0.89,0.87,5,225,5,0,1,0,product_mng,1,0.43499999999999994,0.9775280898876404
220,0.1,0.84,6,286,4,0,1,0,product_mng,1,0.63,8.399999999999999
221,0.37,0.5,2,135,3,0,1,0,product_mng,1,0.16666666666666666,1.3513513513513513
222,0.37,0.51,2,153,3,0,1,0,product_mng,1,0.17,1.3783783783783785
223,0.87,0.9,5,252,5,0,1,0,IT,1,0.45,1.0344827586206897
224,0.4,0.56,2,149,3,0,1,0,accounting,1,0.18666666666666668,1.4000000000000001
225,0.9,0.97,4,258,5,0,1,0,accounting,1,0.388,1.0777777777777777
226,0.37,0.46,2,158,3,0,1,0,hr,1,0.15333333333333335,1.2432432432432432
227,0.44,0.54,2,149,3,0,1,0,hr,1,0.18000000000000002,1.2272727272727273
228,0.85,0.95,5,236,5,0,1,0,hr,1,0.475,1.1176470588235294
229,0.78,0.98,5,239,6,0,1,0,marketing,1,0.4083333333333334,1.2564102564102564
230,0.42,0.47,2,159,3,0,1,0,marketing,1,0.15666666666666665,1.119047619047619
231,0.92,0.99,5,255,6,0,1,0,sales,1,0.41250000000000003,1.076086956521739
232,0.11,0.83,6,244,4,0,1,0,accounting,1,0.6224999999999999,7.545454545454545
233,0.42,0.56,2,134,3,0,1,0,support,1,0.18666666666666668,1.3333333333333335
234,0.48,0.57,4,270,4,0,1,0,technical,1,0.285,1.1875
235,0.83,0.85,4,255,5,0,1,0,management,1,0.33999999999999997,1.0240963855421688
236,0.4,0.53,2,151,3,0,1,0,marketing,1,0.17666666666666667,1.325
237,0.43,0.45,2,135,3,0,1,0,marketing,1,0.15,1.0465116279069768
238,0.43,0.53,2,146,3,0,1,0,marketing,1,0.17666666666666667,1.232558139534884
239,0.1,0.97,7,254,4,0,1,0,sales,1,0.84875,9.7
240,0.1,0.87,7,289,4,0,1,0,sales,1,0.76125,8.7
241,0.37,0.46,2,156,3,0,1,0,sales,1,0.15333333333333335,1.2432432432432432
242,0.38,0.53,2,156,3,0,1,0,sales,1,0.17666666666666667,1.3947368421052633
243,0.4,0.5,2,128,3,0,1,0,sales,1,0.16666666666666666,1.25
244,0.89,0.86,5,275,5,0,1,0,sales,1,0.43,0.9662921348314606
245,0.45,0.46,2,155,3,0,1,0,sales,1,0.15333333333333335,1.0222222222222221
246,0.37,0.48,2,159,3,0,1,0,sales,1,0.16,1.2972972972972974
247,0.46,0.49,2,148,3,0,1,0,sales,1,0.16333333333333333,1.0652173913043477
248,0.87,0.91,4,228,5,0,1,0,sales,1,0.364,1.0459770114942528
249,0.11,0.84,6,298,4,0,1,0,sales,1,0.63,7.636363636363636
250,0.79,0.87,5,261,5,0,1,0,sales,1,0.43499999999999994,1.10126582278481
251,0.79,0.92,5,254,6,0,1,0,sales,1,0.38333333333333336,1.1645569620253164
252,0.19,0.59,7,192,3,0,1,0,sales,1,0.6883333333333334,3.1052631578947367
253,0.87,0.98,4,248,5,0,1,0,sales,1,0.392,1.1264367816091954
254,0.6,0.92,2,258,5,0,1,0,sales,1,0.184,1.5333333333333334
255,0.44,0.45,2,156,3,0,1,0,sales,2,0.1,1.0227272727272727
256,0.11,0.81,6,266,4,1,1,0,sales,2,0.405,7.363636363636364
257,0.42,0.54,2,156,3,0,1,0,sales,2,0.12000000000000001,1.2857142857142858
258,0.88,0.88,5,232,5,1,1,0,accounting,2,0.29333333333333333,1.0
259,0.11,0.84,6,287,4,0,1,0,accounting,2,0.42,7.636363636363636
260,0.46,0.46,2,154,3,0,1,0,accounting,2,0.10222222222222223,1.0
261,0.82,0.97,5,263,5,0,1,0,hr,2,0.3233333333333333,1.1829268292682926
262,0.44,0.56,2,131,3,0,1,0,hr,2,0.12444444444444445,1.272727272727273
263,0.11,0.78,6,260,4,0,1,0,hr,2,0.38999999999999996,7.090909090909091
264,0.42,0.5,2,139,3,0,1,0,hr,2,0.1111111111111111,1.1904761904761905
265,0.84,0.93,4,251,5,0,1,0,technical,2,0.24800000000000003,1.1071428571428572
266,0.11,0.95,6,286,4,0,1,0,technical,2,0.4749999999999999,8.636363636363637
267,0.45,0.53,2,129,3,0,1,0,technical,0,0.35333333333333333,1.1777777777777778
268,0.38,0.56,2,156,3,0,1,0,technical,1,0.18666666666666668,1.473684210526316
269,0.38,0.86,6,139,6,0,1,0,technical,2,0.2866666666666667,2.263157894736842
270,0.44,0.51,2,127,3,0,1,0,technical,2,0.11333333333333334,1.1590909090909092
271,0.11,0.84,6,251,4,0,1,0,technical,2,0.42,7.636363636363636
272,0.81,0.93,5,270,5,0,1,0,technical,2,0.31,1.1481481481481481
273,0.09,0.96,6,296,4,0,1,0,technical,1,0.72,10.666666666666666
274,0.11,0.9,6,254,4,0,1,0,technical,1,0.675,8.181818181818182
275,0.81,0.95,5,238,6,0,1,0,technical,1,0.3958333333333333,1.1728395061728394
276,0.1,0.97,6,267,4,1,1,0,support,1,0.7275,9.7
277,0.74,0.89,5,229,6,0,1,0,support,1,0.37083333333333335,1.2027027027027026
278,0.09,0.78,6,254,4,0,1,0,support,1,0.585,8.666666666666668
279,0.82,0.81,4,233,4,1,1,0,support,1,0.405,0.9878048780487806
280,0.1,0.98,6,268,4,0,1,0,support,1,0.735,9.799999999999999
281,0.27,0.56,3,301,3,0,1,0,support,1,0.28,2.074074074074074
282,0.83,0.92,5,267,6,0,1,0,support,1,0.38333333333333336,1.108433734939759
283,0.1,0.93,6,289,4,1,1,0,support,1,0.6975,9.3
284,0.38,0.47,2,144,3,0,1,0,support,1,0.15666666666666665,1.2368421052631577
285,0.4,0.56,2,148,3,0,1,0,support,1,0.18666666666666668,1.4000000000000001
286,0.11,0.83,6,306,4,0,1,0,support,1,0.6224999999999999,7.545454545454545
287,0.11,0.79,6,292,4,0,1,1,technical,1,0.5925,7.1818181818181825
288,0.82,0.91,5,232,5,0,1,0,technical,1,0.45499999999999996,1.1097560975609757
289,0.36,0.48,2,137,3,0,1,0,technical,1,0.16,1.3333333333333333
290,0.4,0.46,2,128,3,0,1,0,management,1,0.15333333333333335,1.15
291,0.87,0.84,5,231,5,0,1,0,IT,1,0.42000000000000004,0.9655172413793103
292,0.41,0.49,2,146,3,0,1,0,IT,1,0.16333333333333333,1.1951219512195121
293,0.11,0.91,6,308,4,1,1,0,IT,1,0.6825,8.272727272727273
294,0.1,0.93,6,253,4,0,1,0,IT,2,0.465,9.3
295,0.38,0.51,2,146,3,0,1,0,IT,2,0.11333333333333334,1.3421052631578947
296,0.39,0.55,2,156,3,0,1,0,product_mng,2,0.12222222222222223,1.4102564102564104
297,0.4,0.52,2,147,3,0,1,0,product_mng,2,0.11555555555555556,1.3
298,0.45,0.48,2,136,3,0,1,0,product_mng,2,0.10666666666666666,1.0666666666666667
299,0.74,0.84,5,249,5,0,1,0,product_mng,2,0.28,1.135135135135135
300,0.45,0.55,2,151,3,0,1,0,IT,2,0.12222222222222223,1.2222222222222223
301,0.12,1.0,3,278,4,0,1,0,RandD,2,0.25,8.333333333333334
302,0.1,0.77,7,250,5,0,1,0,RandD,2,0.3593333333333334,7.7
303,0.37,0.55,2,127,3,0,1,0,RandD,2,0.12222222222222223,1.4864864864864866
304,0.89,0.87,5,255,5,0,1,0,RandD,2,0.29,0.9775280898876404
305,0.45,0.47,2,135,3,0,1,0,RandD,2,0.10444444444444444,1.0444444444444443
306,0.37,0.46,2,149,3,0,1,0,marketing,0,0.3066666666666667,1.2432432432432432
307,0.11,0.81,5,287,4,0,1,0,sales,1,0.5062500000000001,7.363636363636364
308,0.41,0.48,2,145,3,0,1,0,accounting,2,0.10666666666666666,1.170731707317073
309,0.1,0.94,6,285,4,0,1,0,support,2,0.47,9.399999999999999
310,0.1,0.93,7,305,4,0,1,0,technical,2,0.5425000000000001,9.3
311,0.11,0.95,7,300,4,0,1,0,management,2,0.5541666666666666,8.636363636363637
312,0.4,0.54,2,139,3,0,1,0,marketing,1,0.18000000000000002,1.35
313,0.41,0.49,2,130,3,0,1,0,marketing,1,0.16333333333333333,1.1951219512195121
314,0.1,0.81,6,268,4,0,1,0,marketing,1,0.6075,8.1
315,0.73,0.86,4,245,6,0,1,0,sales,1,0.2866666666666667,1.178082191780822
316,0.43,0.47,2,135,3,0,1,0,sales,1,0.15666666666666665,1.0930232558139534
317,0.37,0.46,2,153,3,0,1,0,sales,1,0.15333333333333335,1.2432432432432432
318,0.11,0.94,6,276,4,0,1,0,sales,1,0.705,8.545454545454545
319,0.4,0.46,2,130,3,0,1,0,sales,1,0.15333333333333335,1.15
320,0.41,0.54,2,153,3,1,1,0,sales,1,0.18000000000000002,1.3170731707317074
321,0.82,0.84,5,244,5,0,1,0,sales,1,0.42000000000000004,1.024390243902439
322,0.61,0.47,2,253,3,0,1,0,sales,1,0.15666666666666665,0.7704918032786885
323,0.11,0.91,7,287,4,0,1,0,sales,1,0.79625,8.272727272727273
324,0.37,0.45,2,131,3,0,1,0,sales,1,0.15,1.2162162162162162
325,0.41,0.52,2,135,3,0,1,0,sales,1,0.17333333333333334,1.2682926829268293
326,0.37,0.52,2,157,3,0,1,0,sales,1,0.17333333333333334,1.4054054054054055
327,0.88,0.99,5,262,6,0,1,0,sales,1,0.41250000000000003,1.125
