empId,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary,ROI
311,0.11,0.95,7,300,4,0,1,0,management,2,0.554166667
312,0.4,0.54,2,139,3,0,1,0,marketing,1,0.18
313,0.41,0.49,2,130,3,0,1,0,marketing,1,0.163333333
314,0.1,0.81,6,268,4,0,1,0,marketing,1,0.6075
315,0.73,0.86,4,245,6,0,1,0,sales,1,0.286666667
316,0.43,0.47,2,135,3,0,1,0,sales,1,0.156666667
317,0.37,0.46,2,153,3,0,1,0,sales,1,0.153333333
318,0.11,0.94,6,276,4,0,1,0,sales,1,0.705
319,0.4,0.46,2,130,3,0,1,0,sales,1,0.153333333
320,0.41,0.54,2,153,3,1,1,0,sales,1,0.18
321,0.82,0.84,5,244,5,0,1,0,sales,1,0.42
322,0.61,0.47,2,253,3,0,1,0,sales,1,0.156666667
323,0.11,0.91,7,287,4,0,1,0,sales,1,0.79625
324,0.37,0.45,2,131,3,0,1,0,sales,1,0.15
325,0.41,0.52,2,135,3,0,1,0,sales,1,0.173333333
326,0.37,0.52,2,157,3,0,1,0,sales,1,0.173333333
327,0.88,0.99,5,262,6,0,1,0,sales,1,0.4125
328,0.1,0.85,6,266,4,0,1,0,sales,1,0.6375
329,0.44,0.48,2,148,3,0,1,0,sales,1,0.16
330,0.38,0.57,2,140,3,0,1,0,sales,1,0.19
331,0.11,0.85,7,302,4,0,1,0,sales,1,0.74375
332,0.09,0.98,6,271,4,0,1,0,sales,1,0.735
333,0.45,0.52,2,145,3,0,1,0,sales,2,0.115555556
334,0.1,0.81,6,290,4,0,1,0,accounting,2,0.405
335,0.45,0.47,2,151,3,0,1,0,accounting,2,0.104444444
336,0.77,0.87,5,266,5,0,1,0,accounting,2,0.29
337,0.44,0.51,2,140,3,0,1,0,hr,2,0.113333333
338,0.39,0.5,2,142,3,0,1,0,hr,2,0.111111111
339,0.1,0.91,6,246,4,0,1,0,hr,2,0.455
340,0.09,0.89,7,308,5,0,1,0,hr,2,0.415333333
341,0.37,0.47,2,141,3,0,1,0,technical,2,0.104444444
342,0.9,1,5,232,5,0,1,0,technical,2,0.333333333
343,0.41,0.56,2,143,3,0,1,0,technical,2,0.124444444
344,0.37,0.52,2,155,3,0,1,0,technical,2,0.115555556
345,0.1,0.86,6,278,4,0,1,0,technical,0,1.29
346,0.81,1,4,253,5,0,1,0,technical,1,0.4
347,0.11,0.8,6,282,4,0,1,0,technical,2,0.4
348,0.11,0.84,7,264,4,0,1,0,technical,2,0.49
349,0.4,0.46,2,149,3,0,1,0,technical,2,0.102222222
350,0.09,0.8,6,304,5,0,1,0,technical,2,0.32
351,0.48,0.93,3,219,6,0,1,0,technical,1,0.2325
352,0.91,0.91,4,262,6,0,1,0,support,1,0.303333333
353,0.43,0.57,2,135,3,0,1,0,support,1,0.19
354,0.33,0.88,6,219,5,0,1,0,support,1,0.528
355,0.41,0.57,2,136,3,0,1,0,support,1,0.19
356,0.41,0.55,2,154,3,0,1,0,support,1,0.183333333
357,0.37,0.54,2,149,3,0,1,0,support,1,0.18
358,0.31,0.62,6,135,5,0,1,0,support,1,0.372
359,0.09,0.91,6,275,4,0,1,0,support,1,0.6825
360,0.1,0.87,6,290,4,0,1,0,support,1,0.6525
361,0.76,0.9,4,263,5,0,1,0,support,1,0.36
362,0.41,0.54,2,145,3,0,1,0,support,1,0.18
363,0.72,0.96,5,267,5,0,1,0,technical,1,0.48
364,0.4,0.5,2,141,3,1,1,0,technical,1,0.166666667
365,0.91,0.87,4,235,5,0,1,0,technical,1,0.348
366,0.1,0.83,6,258,4,0,1,0,management,1,0.6225
367,0.4,0.56,2,131,3,0,1,0,IT,1,0.186666667
368,0.82,0.86,5,243,5,0,1,0,IT,1,0.43
369,0.1,0.82,6,266,4,0,1,0,IT,1,0.615
370,0.37,0.45,2,142,3,0,1,0,IT,1,0.15
371,0.36,0.51,2,135,3,0,1,0,IT,1,0.17
372,0.39,0.48,2,141,3,0,1,0,product_mng,2,0.106666667
373,0.36,0.57,2,142,3,0,1,0,product_mng,2,0.126666667
374,0.86,0.84,5,254,5,0,1,0,product_mng,2,0.28
375,0.73,0.99,5,262,5,0,1,0,product_mng,2,0.33
376,0.56,0.71,4,296,2,0,1,0,IT,2,0.473333333
377,0.44,0.56,2,158,3,0,1,0,accounting,2,0.124444444
378,0.31,0.56,4,238,2,0,1,0,accounting,2,0.373333333
379,0.77,0.93,4,231,5,0,1,0,hr,2,0.248
380,0.44,0.45,2,156,3,0,1,0,hr,2,0.1
381,0.38,0.46,2,145,3,0,1,0,hr,2,0.102222222
382,0.45,0.48,2,144,3,0,1,0,marketing,2,0.106666667
383,0.38,0.51,2,159,3,0,1,0,sales,2,0.113333333
384,0.36,0.48,2,156,3,0,1,0,accounting,0,0.32
385,0.75,0.9,5,256,5,0,1,0,support,1,0.45
386,0.1,0.93,6,298,4,0,1,0,technical,2,0.465
387,0.1,0.97,6,247,4,0,1,0,management,2,0.485
388,0.45,0.5,2,157,3,0,1,0,marketing,2,0.111111111
389,0.42,0.57,2,154,3,1,1,0,marketing,2,0.126666667
390,0.78,1,4,253,5,0,1,0,marketing,1,0.4
391,0.45,0.55,2,148,3,0,1,0,sales,1,0.183333333
392,0.84,1,4,261,5,0,1,0,sales,1,0.4
393,0.11,0.93,6,282,4,0,1,0,sales,1,0.6975
394,0.42,0.56,2,133,3,0,1,0,sales,1,0.186666667
395,0.45,0.46,2,128,3,0,1,0,sales,1,0.153333333
396,0.46,0.57,2,139,3,0,1,0,sales,1,0.19
397,0.09,0.79,6,293,5,0,1,0,sales,1,0.474
398,0.87,0.83,4,265,6,0,1,0,sales,1,0.276666667
399,0.1,0.87,6,250,4,0,1,0,sales,1,0.6525
400,0.91,1,5,251,6,0,1,0,sales,1,0.416666667
401,0.76,0.92,4,246,5,0,1,0,sales,1,0.368
402,0.74,1,5,275,5,0,1,0,sales,1,0.5
403,0.92,0.93,5,240,5,0,1,0,sales,1,0.465
404,0.76,0.87,5,245,5,0,1,0,sales,1,0.435
405,0.47,0.5,4,254,4,0,1,0,sales,1,0.25
406,0.73,0.99,5,241,5,0,1,0,sales,1,0.495
407,0.09,0.94,6,257,4,0,1,0,sales,1,0.705
408,0.91,0.92,4,246,5,0,1,0,sales,1,0.368
409,0.82,0.98,4,233,5,0,1,0,sales,1,0.392
410,0.28,0.45,6,218,4,0,1,0,accounting,1,0.3375
411,0.84,0.99,4,262,6,0,1,0,accounting,2,0.22
412,0.45,0.53,2,138,3,0,1,0,accounting,2,0.117777778
413,0.45,0.54,2,142,3,0,1,0,hr,2,0.12
414,0.91,0.97,5,233,5,0,1,0,hr,2,0.323333333
415,0.42,0.48,2,155,3,0,1,0,hr,2,0.106666667
416,0.82,1,4,229,6,0,1,0,hr,2,0.222222222
417,0.11,0.9,6,264,4,0,1,0,technical,2,0.45
418,0.42,0.53,3,199,4,0,1,0,technical,2,0.1325
419,0.82,0.85,4,223,5,0,1,0,technical,2,0.226666667
420,0.09,0.96,6,268,4,0,1,0,technical,2,0.48
421,0.1,0.94,6,287,4,0,1,0,technical,2,0.47
422,0.86,1,5,257,5,0,1,0,technical,2,0.333333333
423,0.4,0.46,2,143,3,0,1,0,technical,0,0.306666667
424,0.45,0.46,2,130,3,0,1,0,technical,1,0.153333333
425,0.42,0.51,2,136,3,0,1,0,technical,2,0.113333333
426,0.74,0.92,4,261,5,0,1,0,technical,2,0.245333333
427,0.55,0.6,3,180,4,0,1,0,technical,2,0.15
428,0.37,0.45,2,126,3,0,1,0,support,2,0.1
429,0.41,0.52,2,127,3,1,1,0,support,1,0.173333333
430,0.89,0.65,5,195,6,0,1,0,support,1,0.270833333
431,0.41,0.57,2,160,3,0,1,0,support,1,0.19
432,0.44,0.51,2,150,3,0,1,0,support,1,0.17
433,0.87,0.84,4,264,6,0,1,0,support,1,0.28
