ID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
44,12,0,1,402,1,0,1,3,0,44,2,0,28,2,1,2,3,2,475,513,1,0,0,12,1,3,0,0,12,2,2,12,8,3,7
45,23,1,2,795,1,11,2,5,0,45,1,0,19,2,4,5,2,1,1329,821,1,0,0,1,0,3,0,0,23,0,2,22,15,15,8
46,16,0,0,602,2,22,3,2,0,46,1,1,42,2,1,7,2,2,588,469,0,0,0,9,1,2,0,0,10,2,2,9,5,8,7
47,19,0,2,190,1,18,1,1,0,47,1,1,43,2,0,6,1,1,336,482,4,0,0,10,1,0,0,0,8,1,2,1,0,0,0
48,28,0,1,691,2,4,3,2,0,48,0,1,68,2,1,7,3,2,788,1064,4,0,1,10,1,2,0,0,14,4,2,9,6,0,8
49,17,0,2,705,1,7,0,1,0,49,3,1,6,3,0,2,3,1,109,155,1,0,0,8,0,3,0,0,1,2,2,1,0,0,1
50,30,1,2,335,1,0,1,1,0,50,0,1,68,1,2,2,2,2,729,988,9,0,1,2,0,3,0,0,23,2,2,1,0,0,0
51,10,1,2,845,1,4,3,5,0,51,2,1,20,2,0,2,2,2,393,535,1,0,1,2,0,2,0,0,2,3,1,2,2,2,2
52,26,0,2,879,2,0,4,2,0,52,1,0,45,2,1,7,0,0,741,107,5,0,1,10,1,2,0,1,9,2,1,4,3,1,3
53,17,0,0,621,1,10,1,3,0,53,2,1,49,1,2,0,0,1,1060,363,2,0,1,2,0,2,0,1,10,3,2,4,0,2,3
54,8,0,2,852,2,22,2,2,0,54,2,0,17,1,1,7,3,1,500,1119,7,0,1,8,0,2,0,1,5,2,1,2,2,0,0
55,15,0,1,259,1,0,1,1,0,55,0,0,68,2,2,5,3,2,1182,749,1,0,1,1,0,2,0,0,15,1,2,15,14,8,12
56,17,0,1,476,2,17,4,1,0,56,1,1,41,2,2,7,0,1,1022,527,1,0,0,11,1,3,0,1,9,3,1,9,8,1,8
57,17,0,2,651,1,22,3,3,0,57,2,0,0,2,0,2,0,1,476,804,3,0,1,4,0,2,0,1,4,3,2,2,2,2,2
58,13,0,2,356,1,6,3,1,0,58,3,1,18,2,1,2,3,0,800,436,3,0,0,11,1,3,0,1,10,3,1,7,7,1,7
59,19,0,2,632,1,0,3,1,0,59,0,1,21,1,1,4,2,0,809,27,1,0,0,7,0,2,0,1,7,2,3,7,5,0,7
60,14,0,2,199,1,0,2,3,0,60,0,1,3,2,1,4,3,1,824,518,1,0,1,11,1,1,0,1,9,3,2,9,8,7,8
61,20,0,1,354,1,28,4,1,0,61,3,0,20,2,1,2,3,2,167,195,1,0,0,0,0,3,0,0,10,2,2,10,3,9,9
62,32,0,2,561,1,6,1,3,0,62,1,0,13,1,4,5,2,0,1293,849,5,0,1,1,0,3,0,1,29,2,1,27,3,13,8
63,41,0,2,846,2,24,2,1,0,63,0,0,69,2,2,7,0,2,953,16,7,0,0,0,0,3,0,0,28,3,1,21,16,7,9
64,18,0,2,702,1,7,2,5,0,64,2,0,29,2,2,0,2,0,1074,358,1,0,0,2,0,1,0,3,17,2,2,17,14,12,8
65,37,0,2,469,1,7,2,3,0,65,3,0,3,2,3,3,2,0,1215,1018,2,0,1,3,0,2,0,3,21,2,2,5,0,0,2
66,18,0,1,682,1,10,2,1,0,66,1,1,65,1,1,4,1,2,862,1197,1,0,0,2,0,2,0,0,6,3,2,6,5,0,3
67,27,0,2,782,1,6,2,1,0,67,1,1,29,2,2,6,0,0,1053,961,2,0,0,6,0,2,0,1,25,2,2,1,0,0,0
68,17,0,1,363,1,0,2,3,0,68,1,1,49,2,0,6,0,1,91,225,4,0,0,2,0,3,0,1,5,2,1,3,2,1,2
69,18,1,2,140,1,8,2,3,0,69,3,1,49,1,0,6,2,1,385,1141,0,0,1,6,0,0,0,1,2,0,1,1,0,0,0
70,41,0,1,704,2,0,0,1,0,70,0,0,27,1,1,7,2,2,747,1319,7,0,0,0,0,3,0,0,20,2,1,4,3,1,3
71,11,0,2,774,1,1,2,1,0,71,2,1,46,2,0,6,1,1,251,160,0,0,0,12,1,3,0,1,6,3,2,5,4,0,4
72,13,0,2,609,1,0,3,3,0,72,2,1,57,2,0,6,1,2,190,958,1,0,0,6,0,1,0,0,1,4,2,1,1,1,0
73,14,0,2,280,1,0,2,1,0,73,1,1,36,2,1,6,1,1,831,312,1,0,0,6,0,1,0,2,10,3,2,10,4,0,9
74,18,0,2,21,1,5,2,1,0,74,1,0,25,3,0,2,3,1,339,1153,3,0,0,1,0,1,0,0,5,3,2,1,0,0,0
75,13,0,2,416,1,7,3,1,0,75,2,0,31,2,1,4,3,2,557,1077,1,0,0,12,1,3,0,0,11,2,2,11,7,1,8
76,17,0,2,432,2,0,3,2,0,76,2,1,2,1,1,7,0,2,532,1223,0,0,0,3,0,1,0,0,16,2,2,15,13,2,8
77,27,0,2,61,1,5,3,4,0,77,3,1,22,2,2,5,0,1,1175,748,4,0,1,3,0,1,0,0,17,3,3,0,0,0,0
78,19,0,2,185,1,6,3,3,0,78,0,1,0,2,2,5,2,2,1195,1342,4,0,0,2,0,0,0,0,16,3,3,5,2,0,2
79,28,0,2,533,0,4,1,3,0,79,1,1,50,2,1,1,1,0,666,496,8,0,1,11,1,3,0,1,16,2,2,4,2,0,2
80,12,0,2,475,1,0,0,1,0,80,3,1,25,1,1,2,3,1,681,802,1,0,1,1,0,2,0,2,10,1,1,10,8,3,0
81,17,0,2,694,1,0,2,3,0,81,1,1,0,1,0,6,2,2,302,1391,1,0,0,7,0,0,0,0,6,3,2,6,4,0,4
82,37,0,2,7,2,0,1,1,0,82,0,1,40,2,2,7,3,1,1080,926,3,0,0,3,0,3,0,1,24,4,2,1,0,1,0
83,20,0,0,298,1,5,2,3,0,83,1,0,49,0,1,6,3,0,717,782,7,0,1,1,0,3,0,3,17,3,2,13,11,1,9
84,16,0,2,658,1,0,1,3,0,84,0,1,64,2,1,4,1,1,537,905,1,0,0,4,0,2,0,0,5,2,2,5,2,1,3
85,38,0,2,826,1,6,2,1,0,85,3,1,19,0,2,4,3,2,929,1136,4,0,0,0,0,0,0,0,37,3,1,6,4,0,2
86,5,0,2,275,2,1,0,5,0,86,2,1,32,2,0,8,0,0,134,435,3,0,0,2,0,2,0,1,3,3,2,0,0,0,0
87,33,0,2,204,1,8,3,1,0,87,3,1,66,2,0,2,3,1,56,956,3,0,0,12,1,1,0,2,10,4,2,4,2,0,3
88,12,0,2,119,1,1,2,1,0,88,2,1,69,1,1,0,3,1,499,788,1,0,0,8,0,0,0,3,11,3,2,11,10,10,8
89,28,1,2,367,2,8,1,3,0,89,2,1,34,1,2,7,3,2,1044,672,1,0,0,5,0,3,0,0,9,3,2,9,8,4,7
90,22,0,1,268,1,0,3,1,0,90,2,1,48,1,3,0,1,1,1186,699,1,0,0,11,1,3,0,1,22,3,1,22,3,11,11
91,33,0,2,339,2,20,3,2,0,91,2,1,41,2,1,7,3,2,740,371,0,0,1,11,1,3,0,0,11,2,0,10,7,1,0
92,12,0,2,779,2,3,1,3,0,92,2,0,33,1,1,7,1,0,696,1021,1,0,1,1,0,1,0,3,11,4,1,11,8,2,7
93,28,0,1,343,1,0,2,3,0,93,2,1,10,1,2,0,0,1,1112,56,2,0,1,2,0,2,0,1,21,5,1,10,9,9,5
94,14,0,2,618,2,5,3,3,0,94,1,1,57,2,1,7,2,2,665,1297,1,0,0,5,0,0,0,0,12,0,2,11,8,5,7
95,36,0,2,696,1,1,3,5,0,95,0,0,30,2,2,5,2,1,1188,1281,9,0,0,1,0,0,0,1,16,5,0,4,3,0,3
96,6,0,2,789,2,2,1,4,0,96,0,0,3,2,1,7,2,1,662,894,0,0,0,10,1,0,0,1,4,2,1,3,2,0,2
97,10,0,0,13,2,3,2,3,0,97,1,1,13,2,1,7,2,1,512,396,1,0,0,4,0,1,0,0,5,3,3,5,4,0,4
98,40,0,2,376,2,9,3,3,0,98,3,1,7,2,3,7,2,2,1205,1300,0,0,0,2,0,2,0,0,38,1,1,35,10,1,8
99,26,0,0,243,1,22,2,3,0,99,1,1,37,2,1,2,1,1,45,1332,4,0,0,1,0,2,0,1,17,3,3,3,2,1,2
100,19,1,2,451,0,5,3,0,0,100,2,1,33,2,0,1,0,0,54,1260,4,0,1,11,1,3,0,0,7,3,2,3,2,0,2
101,14,0,2,462,1,0,0,1,0,101,3,1,41,2,0,6,0,2,323,752,1,0,0,2,0,3,0,0,1,2,2,1,0,0,0
102,2,1,1,486,1,5,2,1,0,102,3,0,36,1,0,2,3,2,315,1023,1,0,1,7,0,1,0,0,1,5,2,1,0,1,0
103,16,0,2,364,1,5,3,4,0,103,0,0,11,2,1,6,2,2,634,612,1,0,0,3,0,2,0,0,16,3,2,16,13,2,10
104,19,0,0,588,1,1,1,1,0,104,2,1,70,1,1,0,3,0,689,790,5,0,0,3,0,3,0,1,17,2,3,1,0,0,0
105,41,0,0,837,0,1,3,0,0,105,2,0,2,1,4,3,3,1,1296,1149,9,0,0,10,1,3,0,1,30,3,2,3,2,2,2
106,32,0,1,632,1,0,2,1,0,106,0,0,43,2,4,5,1,1,1282,452,3,0,1,8,0,0,0,0,28,1,1,8,3,0,7
107,7,1,2,90,2,4,2,2,0,107,2,1,16,1,1,7,2,2,780,1423,1,0,1,0,0,3,0,0,6,1,2,6,4,0,3
108,7,0,2,742,1,6,0,3,0,108,3,1,34,1,0,6,3,1,309,1419,1,0,0,0,0,2,0,2,2,2,2,2,2,2,1
109,4,0,2,271,1,14,2,3,0,109,1,0,29,2,0,2,3,2,306,1269,1,0,0,4,0,2,0,0,1,5,2,0,0,0,0
110,33,0,1,861,1,0,3,3,0,110,0,0,0,1,2,0,0,2,943,1369,3,0,0,9,1,2,0,0,23,1,1,13,12,12,8
111,16,1,1,358,1,6,2,1,0,111,0,1,36,0,1,2,2,2,813,1211,1,0,1,13,1,3,0,0,9,3,2,9,7,0,6
112,36,0,0,28,0,25,2,0,0,112,3,0,0,3,3,3,3,2,1264,683,2,0,1,1,0,2,0,0,23,3,2,5,3,4,4
113,6,0,2,641,1,17,0,1,0,113,1,1,22,2,0,2,2,1,271,644,0,0,0,1,0,2,0,1,6,2,2,5,3,1,2
114,16,0,2,582,1,5,3,1,0,114,2,0,15,1,1,6,1,0,573,745,6,0,0,4,0,2,0,1,12,3,2,1,0,0,0
115,19,0,2,678,2,2,2,1,0,115,2,1,57,2,2,7,3,2,939,721,2,0,0,1,0,0,0,0,12,3,2,5,3,1,3
116,16,0,2,790,1,4,2,3,0,116,2,0,15,1,2,3,0,2,1144,209,2,0,0,1,0,3,0,0,14,6,2,11,10,5,8
117,18,0,1,868,2,10,1,5,0,117,1,0,62,2,2,7,3,1,1055,1217,0,0,0,3,0,2,0,1,10,6,2,9,7,2,8
118,18,0,2,517,1,2,1,1,0,118,0,0,9,2,0,2,3,0,293,24,5,0,0,11,1,0,0,1,7,2,2,1,0,0,0
119,25,0,1,183,2,25,1,1,0,119,2,1,62,2,3,3,3,1,1253,1000,1,0,1,1,0,3,0,2,25,3,3,25,12,4,12
120,12,0,1,760,1,22,2,1,0,120,0,1,66,0,0,6,2,0,222,1174,1,0,0,14,1,2,0,3,10,2,1,10,7,0,9
121,15,0,0,418,2,21,1,2,0,121,2,1,65,2,1,7,1,1,822,770,0,0,0,2,0,0,0,1,8,2,3,7,7,0,7
122,38,1,2,211,1,13,3,1,0,122,1,0,42,2,0,6,1,1,657,137,9,0,1,7,0,0,0,3,7,2,2,5,4,4,3
123,33,0,2,378,1,5,2,1,0,123,0,1,21,2,4,5,2,2,1328,261,7,0,0,2,0,2,0,0,23,5,2,20,18,15,15
124,13,1,2,96,2,5,3,1,0,124,1,1,46,0,1,7,2,1,825,1080,4,0,1,7,0,1,0,0,12,3,1,7,7,7,7
125,8,0,2,471,1,5,2,4,0,125,2,0,16,1,0,6,1,1,153,1238,1,0,0,8,0,2,0,0,5,3,1,5,4,4,3
126,40,1,2,33,1,22,3,3,0,126,3,0,64,2,2,0,3,1,1086,79,1,0,0,1,0,3,0,1,39,3,1,36,10,15,6
127,1,1,2,266,2,21,0,2,0,127,3,1,20,2,0,8,2,2,25,1414,1,0,1,8,0,3,0,0,0,2,1,0,0,0,0
128,4,0,2,315,1,1,0,5,0,128,2,1,70,2,0,2,3,1,196,989,0,0,0,3,0,2,0,1,3,2,2,2,1,2,1
129,31,0,2,230,1,19,3,3,0,129,2,0,66,2,1,4,0,1,873,201,1,0,0,3,0,2,0,0,16,2,1,15,11,5,11
130,25,0,1,541,1,27,2,3,0,130,1,0,42,3,0,6,2,2,619,809,4,0,0,1,0,3,0,0,18,2,2,3,2,1,2
131,32,0,1,452,2,11,2,2,0,131,2,0,47,2,2,7,3,2,1026,268,4,0,0,0,0,3,0,0,16,3,2,2,2,2,1
132,13,1,2,276,2,19,2,1,0,132,1,0,41,0,1,7,2,1,587,1322,3,0,1,0,0,2,0,1,4,2,2,2,2,2,2
133,23,0,2,447,2,8,0,1,0,133,2,1,66,2,2,7,2,0,980,1110,3,0,1,2,0,2,0,1,12,2,2,9,7,0,7
134,8,0,2,791,0,24,0,1,0,134,2,0,31,2,0,1,2,1,321,399,1,0,0,12,1,3,0,1,8,3,2,8,7,5,7
135,18,0,2,78,1,5,1,3,0,135,1,1,54,2,1,4,1,0,654,34,6,0,0,9,1,3,0,2,7,0,2,3,2,0,1
136,33,1,1,656,1,7,3,1,0,136,0,1,23,0,2,4,3,2,1111,1336,2,0,0,4,0,3,0,0,18,2,2,4,2,0,3
137,21,0,2,775,2,3,3,1,0,137,3,0,17,1,1,7,2,1,797,724,4,0,0,3,0,2,0,1,17,1,3,15,11,5,9
138,7,0,2,542,2,27,2,1,0,138,0,1,11,1,1,7,2,1,1003,1326,2,0,0,7,0,3,0,0,6,3,2,2,2,2,2
139,12,0,2,713,0,8,2,0,0,139,2,1,18,2,1,1,3,1,844,691,0,0,1,8,0,3,0,0,12,2,0,11,9,4,7
140,14,1,2,583,1,8,2,3,0,140,0,0,11,2,0,2,0,2,510,480,7,0,0,11,1,0,0,0,10,2,3,5,4,0,4
141,27,0,2,763,1,28,2,3,0,141,2,1,53,2,0,6,3,2,397,451,5,0,0,2,0,1,0,0,9,2,1,6,5,0,3
142,20,0,2,166,1,2,4,5,0,142,3,0,2,2,1,6,2,2,533,12,3,0,1,9,1,1,0,0,19,2,2,3,2,2,2
143,12,0,2,208,1,17,2,1,0,143,0,0,45,2,0,6,2,2,226,1277,1,0,0,3,0,2,0,0,5,4,1,5,4,0,4
144,14,0,1,381,2,8,1,3,0,144,3,1,5,0,1,7,3,0,605,1207,0,0,0,6,0,3,0,3,9,2,3,8,7,0,7
145,12,0,2,67,1,4,2,5,0,145,3,0,54,2,0,6,0,0,363,495,5,0,0,3,0,3,0,1,8,3,2,3,2,2,2
146,12,0,2,842,1,1,0,3,0,146,1,1,5,1,0,2,3,2,258,534,0,0,0,2,0,3,0,0,6,3,2,5,3,1,2
147,23,0,1,479,1,9,2,1,0,147,3,1,61,1,3,3,0,0,1263,626,4,0,0,2,0,1,0,1,21,2,1,7,6,7,7
148,23,0,2,525,1,8,3,1,0,148,2,1,64,2,0,2,0,1,104,286,2,0,0,10,1,3,0,1,7,2,2,5,0,1,4
149,1,0,2,673,1,2,0,3,0,149,1,0,49,2,0,2,1,2,18,811,1,0,0,3,0,3,0,0,1,3,2,1,0,0,0
150,22,0,1,822,1,25,2,3,0,150,1,0,24,2,1,6,1,0,763,376,1,0,0,0,0,0,0,1,20,2,2,20,7,2,13
151,17,0,2,361,2,0,4,2,0,151,2,1,64,2,2,7,1,1,931,546,1,0,0,2,0,0,0,2,10,3,2,10,8,0,6
152,35,0,2,847,2,5,1,2,0,152,1,1,4,2,1,8,2,1,125,808,2,0,1,9,1,3,0,1,13,3,0,7,7,4,5
153,27,0,2,62,1,8,2,1,0,153,1,1,30,2,1,2,1,0,147,520,8,0,0,7,0,2,0,1,20,2,0,17,9,0,15
154,14,0,1,545,2,7,2,2,0,154,1,0,13,2,2,7,3,2,1021,774,1,0,0,3,0,3,0,0,9,2,2,9,8,3,7
155,11,0,0,883,1,0,0,5,0,155,3,1,11,2,1,4,2,1,534,1392,1,0,0,2,0,0,0,1,10,1,2,10,7,0,9
156,33,0,2,665,1,6,3,3,0,156,1,1,4,1,1,4,2,1,819,692,2,0,0,6,0,2,0,0,10,2,2,1,0,0,0
157,40,0,2,653,1,8,2,3,0,157,1,0,45,1,0,6,1,1,380,570,4,0,1,9,1,1,0,1,9,3,1,1,0,0,0
158,22,0,2,338,2,3,3,2,0,158,2,1,37,1,2,7,3,1,1125,380,7,0,0,0,0,0,0,1,15,2,1,12,11,2,11
159,16,0,1,128,2,1,3,2,0,159,2,0,45,2,0,8,2,1,101,541,6,0,0,7,0,3,0,1,6,3,2,4,3,1,2
160,4,0,2,725,1,18,0,3,0,160,2,1,50,2,0,6,3,1,135,579,1,0,0,13,1,0,0,2,2,6,2,2,2,2,2
161,9,0,0,382,1,8,2,3,0,161,3,1,27,2,0,6,1,0,41,229,6,0,0,7,0,3,0,1,6,1,0,2,2,2,2
162,10,0,2,210,1,20,2,3,0,162,2,1,12,2,0,6,3,1,255,270,1,0,0,0,0,2,0,1,5,2,0,5,2,0,2
163,39,0,2,150,1,23,1,1,0,163,2,1,53,3,2,0,3,0,1036,1247,3,0,1,5,0,1,0,1,12,2,0,5,3,1,4
164,9,0,0,857,1,2,2,3,0,164,2,1,49,1,0,6,2,0,208,1347,1,0,1,4,0,3,0,1,1,2,1,1,1,0,1
165,32,0,2,859,1,10,2,1,0,165,2,0,23,2,4,3,1,2,1345,863,3,0,0,4,0,1,0,0,21,5,2,5,4,4,4
166,23,0,2,225,1,13,2,1,0,166,0,1,26,2,0,6,2,0,180,142,4,0,0,1,0,0,0,1,13,2,2,9,8,1,8
167,12,0,2,782,2,4,2,1,0,167,1,0,11,2,2,7,3,1,1034,354,2,0,0,1,0,2,0,1,12,2,2,10,9,7,4
168,20,0,2,389,2,0,3,1,0,168,0,0,29,1,1,7,3,2,1004,628,4,0,0,11,1,2,0,0,12,2,3,8,3,0,7
169,14,0,2,13,1,5,4,1,0,169,2,1,13,2,0,6,2,2,339,609,3,0,0,9,1,0,0,0,8,2,2,5,4,1,4
170,9,0,2,660,1,16,2,5,0,170,2,1,21,2,0,6,1,1,343,651,0,0,1,5,0,3,0,1,6,3,1,5,2,1,1
171,1,1,1,320,2,0,0,5,0,171,2,0,70,0,0,8,0,2,136,1091,0,0,0,10,1,0,0,0,1,5,3,0,0,0,0
172,18,0,1,876,1,2,1,3,0,172,3,1,0,2,0,2,1,2,60,747,4,0,0,1,0,2,0,0,13,3,1,8,7,7,2
173,12,0,0,7,1,8,2,3,0,173,2,1,36,2,1,2,0,0,348,526,1,0,0,0,0,2,0,2,12,4,2,12,9,6,10
174,27,0,2,732,2,3,1,1,0,174,2,0,0,2,1,7,0,0,664,257,4,0,1,0,0,0,0,1,9,3,3,5,4,0,3
175,38,0,2,396,1,7,2,1,0,175,2,0,37,2,0,6,0,0,520,687,4,0,1,7,0,2,0,1,19,3,2,2,2,2,2
176,15,0,2,22,1,1,2,1,0,176,2,1,60,2,0,6,3,2,189,500,0,0,0,3,0,0,0,0,4,2,3,3,1,0,2
177,1,1,2,128,1,1,2,1,0,177,1,1,17,1,0,2,3,2,5,419,1,0,0,11,1,2,0,0,1,3,1,1,0,1,0
178,28,0,2,264,2,0,1,2,0,178,1,0,62,2,2,7,0,0,1099,6,1,0,0,14,1,2,0,3,24,2,2,24,13,15,7
179,20,0,2,811,1,8,1,1,0,179,2,0,45,2,0,2,3,2,117,257,1,0,0,1,0,2,0,0,2,3,2,2,2,2,1
180,13,0,2,26,1,11,0,3,0,180,2,0,65,2,0,6,3,1,461,288,8,0,1,12,1,2,0,1,7,0,2,4,2,0,2
181,16,0,2,337,1,26,1,3,0,181,3,0,65,2,0,6,1,2,128,217,2,0,0,4,0,3,0,0,9,3,2,3,2,1,2
182,23,1,2,792,2,19,1,2,0,182,1,0,40,2,0,8,1,2,352,1139,1,0,1,11,1,3,0,0,4,5,1,4,3,0,2
183,32,0,2,145,1,0,2,3,0,183,2,1,56,1,0,2,2,1,430,74,2,0,0,4,0,3,0,1,5,2,1,3,2,0,2
184,35,0,2,611,1,12,1,3,0,184,3,0,27,3,1,4,0,0,565,1390,1,0,0,0,0,2,0,2,5,3,2,4,2,1,3
